"Categories Data Filtered by: Selected JCR Year: 2017 Selected Editions: SCIE,SSCI",,,,,
Category,Edition,# Journals,Total Cites,Median Impact Factor,Aggregate Impact Factor
ECONOMICS,SSCI,353,"905,730",1.112,1.766
MATHEMATICS,SCIE,310,"494,556",0.704,0.855
BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,293,"3,625,819",2.906,4.281
"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,285,"3,451,318",2.008,4.641
NEUROSCIENCES,SCIE,261,"2,346,383",3.047,4.015
PHARMACOLOGY & PHARMACY,SCIE,261,"1,571,415",2.481,3.148
"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,260,"1,636,339",1.82,2.723
"MATHEMATICS, APPLIED",SCIE,252,"538,241",0.972,1.299
ENVIRONMENTAL SCIENCES,SCIE,242,"1,893,304",2.071,3.488
EDUCATION & EDUCATIONAL RESEARCH,SSCI,239,"346,922",1.333,1.542
ONCOLOGY,SCIE,223,"1,931,396",3.193,4.6
PLANT SCIENCES,SCIE,223,"1,059,601",1.419,2.683
MANAGEMENT,SSCI,210,"707,972",1.866,2.631
SURGERY,SCIE,200,"1,206,541",1.811,2.521
CLINICAL NEUROLOGY,SCIE,197,"1,303,928",2.645,3.502
CELL BIOLOGY,SCIE,190,"2,134,575",3.325,5.825
"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,190,"917,515",1.909,2.66
LINGUISTICS,SSCI,181,"147,231",0.832,1.151
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,181,"891,424",1.854,2.643
"CHEMISTRY, MULTIDISCIPLINARY",SCIE,171,"3,468,236",2.199,5.561
GENETICS & HEREDITY,SCIE,171,"1,200,365",2.687,3.953
POLITICAL SCIENCE,SSCI,169,"231,208",1.231,1.535
ZOOLOGY,SCIE,167,"381,797",1.097,1.463
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,161,"1,323,552",2.229,3.56
ECOLOGY,SCIE,160,"1,128,691",2.015,3.281
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,157,"467,015",1.589,2.063
IMMUNOLOGY,SCIE,155,"1,280,207",3.185,4.359
"MEDICINE, GENERAL & INTERNAL",SCIE,155,"1,456,323",1.512,4.64
LAW,SSCI,150,"123,975",1.011,1.253
"COMPUTER SCIENCE, INFORMATION SYSTEMS",SCIE,148,"363,122",1.747,2.354
"CHEMISTRY, PHYSICAL",SCIE,147,"3,187,930",2.631,5.401
SOCIOLOGY,SSCI,147,"270,400",1.111,1.466
"PHYSICS, APPLIED",SCIE,146,"2,094,241",1.768,3.884
ENDOCRINOLOGY & METABOLISM,SCIE,142,"994,345",3.044,4.179
PSYCHIATRY,SSCI,142,"584,977",2.002,3.18
PSYCHIATRY,SCIE,142,"797,170",2.387,3.559
BUSINESS,SSCI,140,"559,199",2.263,2.702
VETERINARY SCIENCES,SCIE,140,"329,588",0.972,1.348
"ENGINEERING, CHEMICAL",SCIE,137,"1,204,539",1.744,3.681
"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,135,"444,221",1.324,2.288
MECHANICS,SCIE,134,"713,795",1.768,2.663
FOOD SCIENCE & TECHNOLOGY,SCIE,133,"806,360",1.765,2.605
"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,133,"861,766",2.707,3.035
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",SCIE,132,"497,284",1.725,3.079
"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,129,"809,757",2.036,3.002
CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,128,"993,290",2.264,4.356
"ENGINEERING, CIVIL",SCIE,128,"469,398",1.448,2.301
"ENGINEERING, MECHANICAL",SCIE,128,"594,923",1.708,2.479
"PSYCHOLOGY, CLINICAL",SSCI,127,"397,547",1.929,2.661
MICROBIOLOGY,SCIE,126,"1,117,522",2.537,3.784
PEDIATRICS,SCIE,124,"512,095",1.695,2.181
STATISTICS & PROBABILITY,SCIE,123,"412,677",1.024,1.495
NURSING,SCIE,118,"170,125",1.179,1.4
NURSING,SSCI,115,"164,894",1.163,1.383
ENVIRONMENTAL STUDIES,SSCI,109,"338,658",1.961,3.021
MARINE & FRESHWATER BIOLOGY,SCIE,106,"452,621",1.526,2.137
"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,105,"433,256",1.955,2.733
"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,104,"214,275",1.341,1.784
"COMPUTER SCIENCE, THEORY & METHODS",SCIE,103,"227,016",1.129,2.123
"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",SCIE,103,"309,798",1.214,1.848
"BUSINESS, FINANCE",SSCI,98,"239,084",1.265,1.779
"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,98,"163,658",1.074,1.544
ENERGY & FUELS,SCIE,97,"1,278,572",2.658,5.412
ENTOMOLOGY,SCIE,96,"190,470",1.019,1.624
HEALTH CARE SCIENCES & SERVICES,SCIE,94,"361,599",2.034,2.601
OPTICS,SCIE,94,"725,095",1.866,2.581
TOXICOLOGY,SCIE,94,"476,328",2.459,3.025
NANOSCIENCE & NANOTECHNOLOGY,SCIE,92,"1,579,362",2.934,6.195
"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,91,"346,625",1.592,2.135
WATER RESOURCES,SCIE,90,"493,303",1.783,2.396
HISTORY,SSCI,89,"34,195",0.4,0.465
INFECTIOUS DISEASES,SCIE,88,"548,095",2.616,3.582
INFORMATION SCIENCE & LIBRARY SCIENCE,SSCI,88,"132,560",1.18,2.004
AGRONOMY,SCIE,87,"287,102",1.106,1.946
