"Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,
Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
CA-A CANCER JOURNAL FOR CLINICIANS,"24,539",187.04,0.06452
NEW ENGLAND JOURNAL OF MEDICINE,"315,143",72.406,0.69989
NATURE REVIEWS DRUG DISCOVERY,"28,750",57,0.06077
CHEMICAL REVIEWS,"159,155",47.928,0.24655
LANCET,"214,732",47.831,0.40423
NATURE REVIEWS MOLECULAR CELL BIOLOGY,"40,565",46.602,0.09573
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"141,015",44.405,0.28035
NATURE BIOTECHNOLOGY,"53,992",41.667,0.16973
NATURE REVIEWS GENETICS,"32,654",40.282,0.1024
NATURE,"671,254",40.137,1.43257
NATURE REVIEWS IMMUNOLOGY,"34,948",39.932,0.09292
NATURE MATERIALS,"81,831",39.737,0.20397
Nature Nanotechnology,"48,814",38.986,0.17241
CHEMICAL SOCIETY REVIEWS,"113,731",38.618,0.28411
Nature Photonics,"35,595",37.852,0.12598
SCIENCE,"606,635",37.205,1.15823
NATURE REVIEWS CANCER,"46,017",37.147,0.08488
REVIEWS OF MODERN PHYSICS,"45,510",36.917,0.06964
LANCET ONCOLOGY,"38,110",33.9,0.12184
PROGRESS IN MATERIALS SCIENCE,"10,521",31.14,0.01671
Annual Review of Astronomy and Astrophysics,"9,417",30.733,0.02066
CELL,"217,952",30.41,0.59398
NATURE MEDICINE,"70,491",29.886,0.17847
Energy & Environmental Science,"59,187",29.518,0.18611
Living Reviews in Relativity,"2,186",29.3,0.00682
MATERIALS SCIENCE & ENGINEERING R-REPORTS,"6,361",29.28,0.00549
NATURE REVIEWS NEUROSCIENCE,"36,952",28.88,0.07123
Annual Review of Immunology,"17,290",28.396,0.0364
NATURE GENETICS,"88,954",27.959,0.24129
CANCER CELL,"32,653",27.407,0.10279
PHYSIOLOGICAL REVIEWS,"25,952",27.312,0.03317
Annual Review of Pathology-Mechanisms of Disease,"4,105",26.853,0.01304
NATURE REVIEWS MICROBIOLOGY,"23,640",26.819,0.05791
World Psychiatry,"3,153",26.561,0.0095
World Psychiatry,"3,153",26.561,0.0095
LANCET NEUROLOGY,"24,566",26.284,0.06547
Nature Chemistry,"24,811",25.87,0.10139
PROGRESS IN POLYMER SCIENCE,"22,723",25.766,0.02983
NATURE METHODS,"45,957",25.062,0.21819
JOURNAL OF CLINICAL ONCOLOGY,"149,617",24.008,0.28451
Cell Stem Cell,"21,524",23.394,0.09235
IMMUNITY,"43,303",22.845,0.14937
Annual Review of Plant Biology,"17,998",22.808,0.01877
Nature Physics,"30,007",22.806,0.13222
ADVANCES IN PHYSICS,"5,466",21.818,0.00475
Materials Today,"8,312",21.695,0.01745
NATURE IMMUNOLOGY,"38,936",21.506,0.11338
BMJ-British Medical Journal,"100,535",20.785,0.15994
Nature Reviews Clinical Oncology,"6,733",20.693,0.02675
ACCOUNTS OF CHEMICAL RESEARCH,"61,609",20.268,0.13658
Nature Reviews Neurology,"6,557",20.257,0.02694
EUROPEAN HEART JOURNAL,"51,199",20.212,0.14265
NATURE CELL BIOLOGY,"38,128",20.06,0.10302
Cancer Discovery,"8,944",20.011,0.05335
CLINICAL MICROBIOLOGY REVIEWS,"16,502",19.958,0.02027
Annual Review of Psychology,"16,071",19.95,0.02359
Annual Review of Psychology,"16,071",19.95,0.02359
Annual Review of Biochemistry,"19,584",19.939,0.03377
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"96,042",19.896,0.22701
LANCET INFECTIOUS DISEASES,"18,087",19.864,0.05772
ADVANCED MATERIALS,"160,622",19.791,0.32718
Lancet Diabetes & Endocrinology,"3,866",19.742,0.02158
CIRCULATION,"165,641",19.309,0.24516
Nature Climate Change,"13,663",19.304,0.08202
Nature Climate Change,"13,663",19.304,0.08202
Lancet Respiratory Medicine,"3,920",19.287,0.02047
Annual Review of Condensed Matter Physics,"1,915",18.588,0.01191
GASTROENTEROLOGY,"70,320",18.392,0.12423
Nature Reviews Endocrinology,"6,003",18.318,0.02532
Cell Metabolism,"25,575",18.164,0.09958
PHARMACOLOGICAL REVIEWS,"12,481",17.893,0.01623
NATURE NEUROSCIENCE,"54,399",17.839,0.1604
Advances in Optics and Photonics,"1,568",17.833,0.00521
Lancet Global Health,"2,649",17.686,0.01534
Lancet Global Health,"2,649",17.686,0.01534
Nano Today,"6,131",17.476,0.01442
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"25,052",17.425,0.03016
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"9,015",17.382,0.00973
ANNALS OF INTERNAL MEDICINE,"53,793",17.202,0.09996
IEEE Communications Surveys and Tutorials,"8,654",17.188,0.02923
PSYCHOLOGICAL BULLETIN,"43,457",16.793,0.0274
PSYCHOLOGICAL BULLETIN,"43,457",16.793,0.0274
Science Translational Medicine,"22,073",16.761,0.12558
Advanced Energy Materials,"22,073",16.721,0.07549
GUT,"38,889",16.658,0.07024
TRENDS IN BIOCHEMICAL SCIENCES,"16,279",16.63,0.03216
JAMA Oncology,"2,496",16.559,0.01128
JAMA Internal Medicine,"8,760",16.538,0.05709
PSYCHOLOGICAL INQUIRY,"3,473",16.455,0.00287
EUROPEAN UROLOGY,"27,172",16.265,0.06665
ENDOCRINE REVIEWS,"12,768",15.745,0.01142
Annual Review of Neuroscience,"13,211",15.63,0.02061
CELL RESEARCH,"11,885",15.606,0.03803
TRENDS IN COGNITIVE SCIENCES,"23,273",15.402,0.04629
TRENDS IN COGNITIVE SCIENCES,"23,273",15.402,0.04629
TRENDS IN CELL BIOLOGY,"12,503",15.333,0.03514
JAMA Psychiatry,"6,112",15.307,0.03565
JAMA Psychiatry,"6,112",15.307,0.03565
TRENDS IN ECOLOGY & EVOLUTION,"32,332",15.268,0.0392
Nature Chemical Biology,"17,619",15.066,0.06543
Cell Host & Microbe,"13,089",14.946,0.06094
Annual Review of Cell and Developmental Biology,"9,131",14.917,0.02034
JOURNAL OF MANAGED CARE PHARMACY,"1,611",14.789,0.00343
Annual Review of Physical Chemistry,"8,466",14.741,0.01477
MOLECULAR CELL,"57,961",14.714,0.18412
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"11,027",14.533,0.01369
REPORTS ON PROGRESS IN PHYSICS,"14,032",14.311,0.03126
Nature Reviews Cardiology,"4,406",14.299,0.01849
BEHAVIORAL AND BRAIN SCIENCES,"8,195",14.2,0.01092
BEHAVIORAL AND BRAIN SCIENCES,"8,195",14.2,0.01092
AMERICAN JOURNAL OF PSYCHIATRY,"41,446",14.176,0.04256
AMERICAN JOURNAL OF PSYCHIATRY,"41,446",14.176,0.04256
Psychological Science in the Public Interest,965,14.143,0.00249
Light-Science & Applications,"2,856",14.098,0.01105
NEURON,"82,253",14.024,0.22658
Annual Review of Fluid Mechanics,"10,259",14.02,0.01265
Wiley Interdisciplinary Reviews-Computational Molecular Science,"3,195",14.016,0.0141
STUDIES IN MYCOLOGY,"2,390",14,0.00498
CIRCULATION RESEARCH,"49,784",13.965,0.07975
ACS Nano,"116,242",13.942,0.35082
Nature Geoscience,"17,861",13.941,0.08188
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"514,759",13.858,0.77194
Physics of Life Reviews,"1,327",13.84,0.00318
Nature Reviews Gastroenterology & Hepatology,"5,699",13.678,0.02347
Applied Physics Reviews,891,13.667,0.00403
Annual Review of Medicine,"5,974",13.609,0.01248
FUNGAL DIVERSITY,"4,068",13.465,0.0078
Annual Review of Materials Research,"7,082",13.432,0.01013
SURFACE SCIENCE REPORTS,"4,620",13.333,0.00369
COORDINATION CHEMISTRY REVIEWS,"29,518",13.324,0.03438
TRENDS IN IMMUNOLOGY,"10,436",13.287,0.02906
HEPATOLOGY,"62,304",13.246,0.10972
PROGRESS IN NEUROBIOLOGY,"12,163",13.217,0.01798
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"56,793",13.204,0.09007
MOLECULAR PSYCHIATRY,"17,452",13.204,0.04958
BLOOD,"161,962",13.164,0.31332
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"46,218",13.081,0.08321
Annual Review of Pharmacology and Toxicology,"7,538",12.877,0.01029
Annual Review of Entomology,"11,445",12.867,0.01
ANNALS OF THE RHEUMATIC DISEASES,"39,185",12.811,0.08371
TRENDS IN PHARMACOLOGICAL SCIENCES,"11,348",12.797,0.01915
Physical Review X,"7,645",12.789,0.05793
JOURNAL OF CLINICAL INVESTIGATION,"105,106",12.784,0.18378
NANO LETTERS,"141,715",12.712,0.35429
NATURE STRUCTURAL & MOLECULAR BIOLOGY,"26,851",12.595,0.0928
JNCI-Journal of the National Cancer Institute,"38,391",12.589,0.06243
JOURNAL OF HEPATOLOGY,"33,566",12.486,0.08398
Living Reviews in Solar Physics,974,12.455,0.0041
Nano Energy,"13,433",12.343,0.038
REVIEWS OF GEOPHYSICS,"9,104",12.34,0.01129
Annual Review of Marine Science,"2,785",12.333,0.00991
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"3,171",12.317,0.00477
ACTA NEUROPATHOLOGICA,"16,462",12.213,0.03698
FEMS MICROBIOLOGY REVIEWS,"10,381",12.198,0.01828
Nature Reviews Rheumatology,"5,316",12.188,0.0205
Nature Reviews Nephrology,"3,710",12.146,0.0148
Annual Review of Clinical Psychology,"4,063",12.136,0.01014
Annual Review of Clinical Psychology,"4,063",12.136,0.01014
ADVANCED FUNCTIONAL MATERIALS,"67,188",12.124,0.14777
Nature Communications,"123,958",12.124,0.72169
INTENSIVE CARE MEDICINE,"20,100",12.015,0.03531
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"277,191",11.994,0.57352
JOURNAL OF EXPERIMENTAL MEDICINE,"63,434",11.991,0.09918
GENOME RESEARCH,"36,644",11.922,0.11405
TRENDS IN PLANT SCIENCE,"18,467",11.911,0.02631
GENOME BIOLOGY,"28,862",11.908,0.09509
PLOS MEDICINE,"22,665",11.862,0.05942
DIABETES CARE,"66,107",11.857,0.10798
ANNALS OF ONCOLOGY,"34,424",11.855,0.09085
ADVANCED DRUG DELIVERY REVIEWS,"32,192",11.764,0.04197
HUMAN REPRODUCTION UPDATE,"7,768",11.748,0.01596
LEUKEMIA,"23,538",11.702,0.05971
BIOLOGICAL REVIEWS,"9,669",11.615,0.01726
Lancet Psychiatry,"1,636",11.588,0.00779
Lancet Psychiatry,"1,636",11.588,0.00779
PROGRESS IN RETINAL AND EYE RESEARCH,"5,428",11.587,0.00891
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"23,370",11.483,0.08384
BIOLOGICAL PSYCHIATRY,"41,859",11.412,0.06732
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,"3,263",11.229,0.00647
PHARMACOLOGY & THERAPEUTICS,"13,250",11.127,0.02218
TRENDS IN BIOTECHNOLOGY,"13,211",11.126,0.02002
TRENDS IN NEUROSCIENCES,"19,178",11.124,0.02964
Academy of Management Annals,"2,109",11.115,0.00876
Annual Review of Physiology,"8,818",11.115,0.01236
TRENDS IN MICROBIOLOGY,"10,667",11.02,0.02082
NATURAL PRODUCT REPORTS,"9,382",11.014,0.0162
PROGRESS IN QUANTUM ELECTRONICS,"1,047",11,0.00155
Annual Review of Phytopathology,"7,028",10.981,0.00742
DRUG RESISTANCE UPDATES,"2,462",10.906,0.00397
TRENDS IN ENDOCRINOLOGY AND METABOLISM,"7,766",10.893,0.01853
TRENDS IN GENETICS,"11,304",10.844,0.02499
TRENDS IN MOLECULAR MEDICINE,"8,371",10.732,0.01943
IEEE Industrial Electronics Magazine,"1,119",10.71,0.00355
Materials Horizons,"1,650",10.706,0.00595
Annual Review of Biophysics,"2,510",10.676,0.01064
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,"11,006",10.629,0.00854
ACS Catalysis,"27,113",10.614,0.08891
BIOTECHNOLOGY ADVANCES,"14,128",10.597,0.02383
PROGRESS IN LIPID RESEARCH,"5,097",10.583,0.00754
EUROPEAN RESPIRATORY JOURNAL,"32,927",10.569,0.05455
Annual Review of Biomedical Engineering,"4,251",10.514,0.00607
IEEE COMMUNICATIONS MAGAZINE,"17,250",10.435,0.0501
JOURNAL OF PINEAL RESEARCH,"7,278",10.391,0.00802
Nature Plants,"1,041",10.3,0.00504
BRAIN,"48,061",10.292,0.07742
JAMA Pediatrics,"4,177",10.251,0.02506
Annual Review of Public Health,"4,974",10.228,0.00878
Annual Review of Public Health,"4,974",10.228,0.00878
JACC-Cardiovascular Imaging,"6,895",10.189,0.02699
Annual Review of Ecology Evolution and Systematics,"18,581",10.182,0.01168
NUCLEIC ACIDS RESEARCH,"156,800",10.162,0.37474
Nature Protocols,"32,592",10.032,0.07747
JAMA Neurology,"5,105",10.029,0.02693
CURRENT OPINION IN CELL BIOLOGY,"13,266",9.937,0.02978
ANNALS OF NEUROLOGY,"34,215",9.89,0.05715
Lancet HIV,734,9.842,0.00346
PLOS BIOLOGY,"26,893",9.797,0.06738
EMBO JOURNAL,"66,603",9.792,0.09767
LAND DEGRADATION & DEVELOPMENT,"4,392",9.787,0.00475
Annual Review of Earth and Planetary Sciences,"6,688",9.78,0.01203
ENVIRONMENTAL HEALTH PERSPECTIVES,"37,319",9.776,0.04468
Molecular Systems Biology,"8,208",9.75,0.03398
Journal of Cachexia Sarcopenia and Muscle,"1,310",9.697,0.00377
ISME Journal,"17,083",9.664,0.05686
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"620,027",9.661,1.23581
IEEE SIGNAL PROCESSING MAGAZINE,"9,088",9.654,0.01913
CLINICAL CANCER RESEARCH,"77,834",9.619,0.14092
IMMUNOLOGICAL REVIEWS,"13,751",9.614,0.03461
SEMINARS IN IMMUNOLOGY,"4,257",9.611,0.01223
AMERICAN JOURNAL OF GASTROENTEROLOGY,"32,177",9.566,0.04975
Alzheimers & Dementia,"8,125",9.478,0.03206
CHEMISTRY OF MATERIALS,"92,255",9.466,0.12582
